Player,Nation,Team,Position,Age,Playing time: Matches Played,Playing time: Starts,Playing time: Minutes,Performances: Non-Penalty Goals,Performances: Penalty Goals,Performances: Assists,Performances: Yellow Cards,Performances: Red Cards,Expected: xG,Expected: npxG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: G+A,Per 90 minutes: G-PK,Per 90 minutes: G+A-PK,Per 90 minutes: xG + xAG,Per 90 minutes: npxG + xAG,Performances: GA,Performances: GA90,Performances: SoTA,Performances: Saves,Performances: Save%,Performances: W,Performances: D,Performances: L,Performances: CS,Performances: CS%,Penalty Kicks: PKatt,Penalty Kicks: PKA,Penalty Kicks: PKsv,Penalty Kicks: PKm,Penalty Kicks: PK Save%,Standard: Gls,Standard: Sh,Standard: SoT,Standard: SoT%,Standard: Sh/90,Standard: Sot/90,Standard: G/Sh,Standard: G/SoT,Standard: Dist,Standard: FK,Standard: PK,Standard: PKatt,Expected: npxG/Sh,Expected: G-xG,Expected: np:G-xG,Total: Cmp,Total: Att,Total: Cmp%,Total: TotDist,Total: PrgDist,Short: Cmp,Short: Att,Short: Cmp%,Medium: Cmp,Medium: Att,Medium: Cmp%,Long: Cmp,Long: Att,Long: Cmp%,Expected: Ast,Expected: xA,Expected: A-xAG,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,Expected: PrgP,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Sw,Pass Types: Crs,Pass Types: TI,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Outcomes: Cmp,Outcomes: Off,Outcomes: Blocks,SCA: SCA,SCA: SCA90,SCA Types: PassLive,SCA Types: PassDead,SCA Types: TO,SCA Types: Sh,SCA Types: Fld,SCA Types: Def,GCA: GCA,GCA: GCA90,GCA Types: PassLive,GCA Types: PassDead,GCA Types: TO,GCA Types: Sh,GCA Types: Fld,GCA Types: Def,Tackles: Tkl,Tackles: TklW,Tackles: Def 3rd,Tackles: Mid 3rd,Tackles: Att 3rd,Challenges: Tkl,Challenges: Att,Challenges: Tkl%,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Blocks: Tkl + Int,Blocks: Clr,Blocks: Err,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Touches: Live,Take-Ons: Att,Take-Ons: Succ,Take-Ons: Succ%,Take-Ons: Tkld,Take-Ons: Tkld%,Carries: Carries,Carries: TotDist,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Starts: Starts,Starts: Mn/Start,Starts: Compl,Subs: Subs,Subs: Mn/Sub,Subs: unSub,Team Success: PPM,Team Success: onG,Team Success: onGA,Team Success xG: onxG,Team Success xG: onxGA,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: OG,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Aaron Cresswell,eng ENG,West Ham United,"DF,FW",33,11,4,436,0,0,0,1,0,0.0,0.0,0.4,4,26,6,0.00,0.00,0.00,0.00,0.00,0.09,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.3,-0.4,5,15,4,0,26,245,63,9,0,4,11,50,4,1,3,0,254,0,3,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0.0,1,100.0,169,522,220,4,5,0,0,2,210,6,4,77,2,7,18,21,1.00,6,11,6.6,5.6,2,3,1,11,0,18,6,3,66.7
Aaron Ramsdale,eng ENG,Arsenal,GK,25,6,6,540,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0,4,0,0,2,153,35,16,0,0,0,0,0,0,0,0,131,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,6,90,6,0,,31,2.67,11,5,11.1,5.8,0,1,0,0,0,6,0,0,
Aaron Ramsey,eng ENG,Burnley,"MF,FW",20,14,5,527,0,0,0,1,0,0.3,0.3,0.4,8,8,17,0.00,0.00,0.00,0.00,0.00,0.13,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,6,2,33.3,1.02,0.34,0.00,0.00,16.5,0,0,0,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90.0,0,0.5,-0.4,1,7,2,0,8,141,9,1,1,0,2,2,0,0,0,0,118,1,9,5,0.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0,228,15,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17,5,68,0,9,21,3,0.36,4,17,5.4,11.5,7,3,1,2,0,24,4,5,44.4
Aaron Wan-Bissaka,eng ENG,Manchester United,DF,25,22,20,1780,0,0,2,4,0,0.1,0.1,1.5,30,77,54,0.00,0.10,0.10,0.00,0.10,0.08,0.08,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,3,1,33.3,0.15,0.05,0.00,0.00,20.2,0,0,0,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50.0,2,1.4,+0.5,12,51,16,3,77,839,145,7,0,1,14,138,0,0,0,0,823,2,27,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,20,88,16,2,11,3,1.32,30,34,25.3,37.9,17,9,0,14,0,94,21,19,52.5
Adam Lallana,eng ENG,Brighton and Hove Albion,"MF,FW",35,25,13,850,0,0,1,2,0,0.8,0.8,1.7,9,39,55,0.00,0.11,0.11,0.00,0.11,0.27,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,11,2,18.2,1.16,0.21,0.00,0.00,17.8,0,0,0,0.08,-0.8,-0.8,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,2.0,-0.7,15,21,16,1,39,491,15,5,3,0,7,0,4,0,0,0,451,3,9,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,13,53,0,12,13,8,1.24,12,13,10.9,11.7,8,11,2,7,0,22,3,5,37.5
Adam Smith,eng ENG,Bournemouth,DF,32,28,25,2150,0,0,2,6,0,0.1,0.1,1.3,24,89,28,0.00,0.08,0.08,0.00,0.08,0.06,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,2,0,0.0,0.08,0.00,0.00,,26.9,0,0,0,0.03,-0.1,-0.1,782,1025,76.3,12722,5225,397,443,89.6,325,401,81.0,51,141,36.2,2,1.7,+0.7,17,58,23,17,89,793,229,14,3,1,39,215,0,0,0,0,782,3,26,31,1.30,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28,25,85,15,3,12,6,1.61,39,33,37.6,31.6,30,22,1,39,0,92,18,22,45.0
Adam Webster,eng ENG,Brighton and Hove Albion,DF,28,15,13,1144,0,0,0,2,0,0.4,0.4,0.1,16,80,2,0.00,0.00,0.00,0.00,0.00,0.05,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,8,0,0.0,0.63,0.00,0.00,,9.9,0,0,0,0.05,-0.4,-0.4,997,1096,91.0,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,0,0.3,-0.1,5,92,4,0,80,1063,31,23,1,4,1,7,0,0,0,0,997,2,2,14,1.10,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,1201,106,495,625,86,14,1201,2,0,0.0,2,100.0,814,4073,2357,16,16,0,5,2,903,2,13,85,11,2,18,12,1.13,16,22,21.9,17.5,9,3,0,1,1,63,33,13,71.7
Adam Wharton,eng ENG,Crystal Palace,MF,19,16,15,1297,0,0,3,2,0,0.3,0.3,2.4,14,79,10,0.00,0.21,0.21,0.00,0.21,0.19,0.19,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,10,1,10.0,0.69,0.07,0.00,0.00,24.2,0,0,0,0.03,-0.3,-0.3,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,3,1.5,+0.6,21,51,16,3,79,553,34,13,3,2,25,0,15,7,4,0,464,9,11,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10,15,82,6,1,63,0,1.56,27,16,19.9,17.6,18,21,0,25,0,76,7,12,36.8
Albert Sambi Lokonga,be BEL,Luton Town,MF,23,17,16,1303,1,0,3,4,0,0.6,0.6,1.4,29,72,13,0.07,0.21,0.28,0.07,0.28,0.14,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,8,2,25.0,0.55,0.14,0.13,0.50,20.9,0,0,0,0.08,+0.4,+0.4,669,766,87.3,11099,3318,319,348,91.7,253,285,88.8,55,76,72.4,3,0.8,+1.6,9,68,6,1,72,694,67,28,5,11,13,8,2,1,1,0,669,5,3,27,1.86,22,0,0,1,3,1,3,0.21,3,0,0,0,0,0,29,18,14,12,3,17,24,70.8,7,23,13,10,11,40,14,0,899,54,223,513,170,11,899,22,11,50.0,7,31.8,529,3027,1707,29,19,2,12,11,597,13,16,80,8,1,19,0,0.76,22,31,20.2,25.2,18,27,0,13,0,64,15,9,62.5
Alejandro Garnacho,ar ARG,Manchester United,FW,19,36,30,2565,7,0,4,4,0,8.4,8.3,5.1,178,62,281,0.25,0.14,0.39,0.25,0.39,0.47,0.47,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,0.08,-1.4,-1.3,675,901,74.9,9269,1365,422,506,83.4,189,233,81.1,34,63,54.0,4,2.9,-1.1,46,26,22,4,62,885,13,3,2,4,58,6,4,2,0,0,675,3,50,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,938,8015,4211,178,83,102,69,49,1006,281,30,82,12,6,19,2,1.50,44,39,42.0,50.8,20,54,15,58,0,106,6,25,19.4
